symbol,date,open,high,low,close,volume,adjusted
TR,1989-05-16,4.048754,4.048754,3.979544,3.996847,52016,2.612946
TR,1989-05-17,3.996847,3.996847,3.962242,3.996847,20228,2.612946
TR,1989-05-18,3.979544,3.979544,3.94494,3.94494,13726,2.579011
TR,1989-05-19,3.94494,4.117963,3.94494,4.117963,40457,2.692124
TR,1989-05-22,4.135266,4.135266,4.014149,4.014149,17339,2.624257
TR,1989-05-23,4.014149,4.014149,3.927637,3.927637,15894,2.567698
TR,1989-05-24,3.962242,3.996847,3.962242,3.996847,27453,2.612946
TR,1989-05-25,3.979544,4.014149,3.962242,4.014149,16616,2.624257
TR,1989-05-26,3.979544,4.083359,3.979544,4.083359,18061,2.669502
TR,1989-05-30,4.083359,4.083359,4.048754,4.048754,23841,2.646879
TR,1989-05-31,4.014149,4.048754,4.014149,4.014149,25286,2.624257
TR,1989-06-01,4.048754,4.083359,4.048754,4.048754,137987,2.646879
TR,1989-06-02,4.048754,4.117963,4.048754,4.117963,188558,2.692124
TR,1989-06-05,4.083359,4.221778,4.066056,4.221778,421185,2.759994
TR,1989-06-06,4.187173,4.273685,4.117963,4.221778,61408,2.759994
TR,1989-06-07,4.187173,4.221778,4.152568,4.204475,43347,2.748681
TR,1989-06-08,4.221778,4.290987,4.169871,4.290987,62130,2.80524
